Date,^GSPC,^STOXX50E,^FCHI,NQ=F,^DJI,^N225
2021-09-24,4438.0400390625,4188.43017578125,6675.72998046875,15300.25,34762.30859375,30141.609375
2021-09-27,4442.1201171875,4164.6298828125,6683.85009765625,15319.0,34739.26953125,30277.8203125
2021-09-28,4419.5400390625,4160.47021484375,6634.72021484375,15172.25,34747.69921875,30142.380859375
2021-09-29,4362.41015625,4070.449951171875,6549.41015625,14769.25,34360.078125,29611.919921875
2021-09-30,4370.669921875,4089.159912109375,6615.990234375,14769.75,34467.98046875,29569.189453125
2021-10-01,4317.16015625,4037.159912109375,6421.10009765625,14702.25,33930.69921875,29235.109375
2021-10-04,4348.83984375,4026.699951171875,6484.89990234375,14785.0,34312.9609375,29044.470703125
2021-10-05,4309.8701171875,4002.610107421875,6481.72021484375,14493.75,34035.25,28050.390625
2021-10-06,4319.56982421875,4049.639892578125,6509.60009765625,14662.0,34198.9609375,28033.91015625
2021-10-07,4383.72998046875,4037.47998046875,6563.240234375,14768.0,34509.71875,27665.970703125
2021-10-08,4406.509765625,4097.1201171875,6609.509765625,14891.25,34757.5703125,28031.369140625
2021-10-11,4385.43994140625,4071.14990234375,6546.06982421875,14810.25,34723.7890625,27977.5703125
2021-10-12,4368.31005859375,4058.5400390625,6495.14990234375,14688.5,34507.1484375,28458.880859375
2021-10-13,4358.009765625,4052.47998046875,6539.60986328125,14594.0,34372.7109375,28085.439453125
2021-10-14,4386.75,4088.139892578125,6651.18017578125,14770.25,34443.21875,28264.41015625
2021-10-15,4447.68994140625,4160.0400390625,6714.259765625,15063.75,35023.62890625,28787.259765625
2021-10-18,4463.72021484375,4177.72998046875,6697.2900390625,15145.0,35221.01953125,29093.8203125
2021-10-19,4497.33984375,4159.22021484375,6690.9501953125,15289.75,35325.37109375,29117.279296875
2021-10-20,4524.419921875,4164.5,6636.60986328125,15411.0,35475.16015625,29385.94921875
2021-10-21,4532.240234375,4163.6201171875,6673.14013671875,15357.5,35520.3203125,29152.740234375
2021-10-22,4546.1201171875,4158.43994140625,6720.919921875,15383.0,35607.71875,28578.529296875
2021-10-25,4553.68994140625,4194.83984375,6752.97998046875,15324.25,35692.62109375,28527.130859375
2021-10-26,4578.68994140625,4187.5498046875,6723.06005859375,15543.0,35791.05078125,28927.609375
2021-10-27,4580.22021484375,4220.740234375,6755.6298828125,15532.25,35835.4296875,29056.009765625
2021-10-28,4562.83984375,4220.740234375,6750.77978515625,15595.0,35545.41015625,28871.609375
2021-10-29,4572.8701171875,4228.72998046875,6778.7900390625,15679.75,35712.28125,28819.16015625
2021-11-01,4610.6201171875,4256.93017578125,6870.27978515625,15885.25,35833.6484375,29330.6796875
2021-11-02,4613.33984375,4276.72021484375,6883.06005859375,15891.0,35935.109375,29462.400390625
2021-11-03,4630.64990234375,4292.58984375,6919.47021484375,15957.75,36059.08984375,
2021-11-04,4662.93017578125,4314.509765625,6977.6201171875,16129.5,36107.4609375,29859.740234375
2021-11-05,4699.259765625,4330.14013671875,6983.7998046875,16335.0,36268.75,29840.73046875
2021-11-08,4701.47998046875,4359.740234375,7041.60009765625,16293.0,36416.4609375,29735.44921875
2021-11-09,4707.25,4346.6201171875,7023.580078125,16315.5,36404.53125,29557.55078125
2021-11-10,4670.259765625,4349.7998046875,7046.169921875,16201.25,36299.25,29209.060546875
2021-11-11,4659.39013671875,4347.259765625,7038.83984375,15989.0,36038.78125,29046.189453125
2021-11-12,4655.240234375,4357.89990234375,7062.5400390625,16043.75,35963.78125,29381.44921875
2021-11-15,4689.2998046875,4364.52001953125,7090.9599609375,16212.25,36128.828125,29807.369140625
2021-11-16,4679.419921875,4393.7998046875,7146.3701171875,16198.5,36076.1796875,29749.7109375
2021-11-17,4701.5,4399.25,7149.2998046875,16297.75,36159.69921875,29906.6796875
2021-11-18,4700.72021484375,4400.72998046875,7155.0498046875,16322.5,35901.69140625,29597.9296875
2021-11-19,4708.43994140625,4385.66015625,7172.72021484375,16503.25,35879.08984375,29641.05078125
2021-11-22,4712.0,4361.9501953125,7130.240234375,16600.25,35631.41015625,29618.55078125
2021-11-23,4678.47998046875,4320.41015625,7064.3798828125,16399.0,35619.921875,
2021-11-24,4675.77978515625,4284.60009765625,7052.18017578125,16300.25,35752.30859375,29663.44921875
2021-11-26,4664.6298828125,4213.93017578125,6814.89990234375,16360.0,35366.69140625,29324.470703125
2021-11-29,4628.75,4117.7900390625,6831.41015625,16046.5,35017.7109375,28337.9609375
2021-11-30,4640.25,4089.510009765625,6679.02978515625,16419.0,35056.98828125,28611.73046875
2021-12-01,4602.81982421875,4080.85009765625,6774.7998046875,16238.75,34678.94140625,27866.73046875
2021-12-02,4504.72998046875,4157.7001953125,6794.77001953125,15891.75,34076.25,27716.19921875
2021-12-03,4589.490234375,4118.97998046875,6860.72998046875,16020.0,34692.78125,27841.05078125
2021-12-06,4548.3701171875,4095.389892578125,6810.93017578125,15716.25,34633.4296875,28069.9609375
2021-12-07,4631.97021484375,4157.72021484375,6934.68017578125,15848.75,35423.98828125,28138.8203125
2021-12-08,4690.85986328125,4273.31982421875,7064.1201171875,16360.5,35716.8515625,28792.890625
2021-12-09,4691.0,4242.66015625,7035.93017578125,16380.5,35722.26171875,28827.3203125
2021-12-10,4687.64013671875,4198.18017578125,6960.39013671875,16158.5,35830.55078125,28542.5
2021-12-13,4710.2998046875,4206.4501953125,7004.759765625,16321.75,35958.9296875,28705.259765625
2021-12-14,4642.990234375,4198.89990234375,6978.77001953125,16085.0,35605.73046875,28554.859375
2021-12-15,4636.4599609375,4147.16015625,6923.52001953125,15928.5,35549.3515625,28358.470703125
2021-12-16,4719.1298828125,4198.25,7054.919921875,16288.5,36036.28125,28868.369140625
2021-12-17,4652.5,4195.93994140625,6982.06982421875,15873.0,35800.109375,28854.599609375
2021-12-20,4587.89990234375,4140.330078125,6783.830078125,15809.5,35222.12109375,28325.4609375
2021-12-21,4594.9599609375,4120.47998046875,6935.66015625,15674.25,35069.5,28309.599609375
2021-12-22,4650.35986328125,4180.89013671875,6982.52978515625,15979.0,35491.7109375,28614.060546875
2021-12-23,4703.9599609375,4221.89990234375,7071.93017578125,16180.0,35782.421875,28703.009765625
2021-12-27,4733.990234375,4249.89990234375,7070.14013671875,16304.25,35954.48046875,28786.330078125
2021-12-28,4795.490234375,4290.5400390625,7141.85009765625,16565.75,36302.98828125,28953.3203125
2021-12-29,4788.64013671875,4311.1298828125,7179.10986328125,16513.5,36421.140625,28995.73046875
2021-12-30,4794.22998046875,4286.6298828125,7167.52978515625,16484.5,36522.48046875,28794.240234375
2021-12-31,4775.2099609375,,7153.66015625,16431.0,36385.8515625,
2022-01-03,4778.14013671875,4303.93994140625,7197.39990234375,16356.0,36321.58984375,
2022-01-04,4804.509765625,4346.4501953125,7273.56982421875,16497.75,36636.0,29098.41015625
2022-01-05,4787.990234375,4368.77978515625,7320.47998046875,16265.0,36722.6015625,29288.80078125
2022-01-06,4693.39013671875,4372.4501953125,7264.0,15763.75,36409.05078125,29136.75
2022-01-07,4697.66015625,4331.06982421875,7250.7900390625,15801.75,36249.58984375,28711.529296875
2022-01-10,4655.33984375,4312.1298828125,7245.2099609375,15590.0,36175.2109375,
2022-01-11,4669.14013671875,4251.7998046875,7185.2099609375,15622.25,36058.8515625,28380.900390625
2022-01-12,4728.58984375,4306.25,7235.47021484375,15826.0,36336.16015625,28449.529296875
2022-01-13,4733.56005859375,4319.259765625,7215.47998046875,15901.0,36312.48828125,28658.220703125
2022-01-14,4637.990234375,4307.47998046875,7132.58984375,15505.0,35996.4296875,28246.990234375
2022-01-18,4632.240234375,4293.580078125,7172.43017578125,15616.75,35661.76171875,28451.33984375
2022-01-19,4588.02978515625,4249.39990234375,7104.10986328125,15238.75,35412.30078125,27928.890625
2022-01-20,4547.35009765625,4271.25,7190.02001953125,15042.25,35102.66015625,27401.4296875
2022-01-21,4471.3798828125,4278.18017578125,7088.43994140625,14722.0,34701.69140625,27404.359375
2022-01-24,4356.31982421875,4213.830078125,7014.83984375,14410.0,34070.609375,27258.44921875
2022-01-25,4366.64013671875,4078.81005859375,6870.27001953125,14495.0,34186.640625,27466.8203125
2022-01-26,4408.43017578125,4096.509765625,6901.740234375,13945.5,34520.8203125,27105.98046875
2022-01-27,4380.580078125,4144.77978515625,6879.64013671875,14194.0,34261.75,27139.880859375
2022-01-28,4336.18994140625,4174.56982421875,7043.43017578125,14167.75,34135.23828125,26429.849609375
2022-01-31,4431.7900390625,4161.77001953125,7039.7099609375,14454.0,34691.171875,26690.599609375
2022-02-01,4519.56982421875,4184.6298828125,7052.2998046875,14868.75,35151.46875,27167.140625
2022-02-02,4566.39013671875,4242.740234375,7117.4501953125,15129.0,35378.19140625,27302.990234375
2022-02-03,4535.41015625,4215.41015625,7115.2998046875,14852.5,35520.078125,27330.9609375
2022-02-04,4482.7900390625,4154.75,7049.7998046875,14770.0,35095.73828125,27095.900390625
2022-02-07,4505.75,4101.89013671875,6987.169921875,14682.5,35108.37890625,27327.630859375
2022-02-08,4480.02001953125,4117.2099609375,7008.2001953125,14600.0,35160.6796875,27318.30078125
2022-02-09,4547.0,4140.41015625,7086.33984375,14746.25,35614.8984375,27488.650390625
2022-02-10,4553.240234375,4208.2001953125,7141.68994140625,15062.25,35630.80859375,27818.099609375
2022-02-11,4506.27001953125,4170.72998046875,7025.5,14698.25,35267.890625,
2022-02-14,4412.60986328125,4125.31005859375,6868.06982421875,14250.0,34694.5,27305.919921875
2022-02-15,4429.27978515625,4059.25,6830.740234375,14257.0,34686.19140625,27183.560546875
2022-02-16,4455.75,4149.56005859375,7009.68994140625,14588.0,34951.828125,27269.05078125
2022-02-17,4456.06005859375,4139.8798828125,6999.1298828125,14592.25,34858.46875,27431.419921875
2022-02-18,4384.56982421875,4107.72021484375,6951.830078125,14156.25,34310.44921875,26895.16015625
2022-02-22,4332.740234375,3960.199951171875,6633.740234375,13952.75,33974.08984375,26515.44921875
2022-02-23,4324.93017578125,3991.659912109375,6801.66015625,13928.25,33680.96875,
2022-02-24,4155.77001953125,3939.510009765625,6496.25,13484.25,32830.328125,26281.349609375
2022-02-25,4298.3798828125,3836.85009765625,6571.9501953125,13909.5,33277.21875,26213.19921875
2022-02-28,4354.169921875,3940.989990234375,6620.47998046875,13900.25,33870.62109375,26457.51953125
2022-03-01,4363.14013671875,3920.030029296875,6646.16015625,14219.25,33813.48046875,26836.740234375
2022-03-02,4322.56005859375,3755.27001953125,6359.97998046875,14026.25,33379.51171875,26532.19921875
2022-03-03,4401.31005859375,3819.139892578125,6488.25,14196.5,33972.87109375,26628.869140625
2022-03-04,4342.1201171875,3723.969970703125,6308.33984375,14069.25,33655.4296875,26421.849609375
2022-03-07,4327.009765625,3529.570068359375,5887.830078125,13763.5,33579.75,25634.08984375
2022-03-08,4202.66015625,3489.159912109375,5906.6201171875,13283.0,32885.171875,24974.349609375
2022-03-09,4223.10009765625,3548.489990234375,6131.27978515625,13192.25,32860.421875,24876.490234375
2022-03-10,4252.5498046875,3764.639892578125,6376.56982421875,13778.0,33106.76953125,25108.470703125
2022-03-11,4279.5,3657.3701171875,6233.1201171875,13577.25,33279.71875,25495.029296875
2022-03-14,4202.75,3694.760009765625,6298.9599609375,13362.0,33000.37109375,25338.640625
2022-03-15,4188.81982421875,3723.22998046875,6294.72021484375,13082.0,32989.26953125,25228.529296875
2022-03-16,4288.14013671875,3766.7900390625,6484.330078125,13451.75,33653.9296875,25574.900390625
2022-03-17,4345.10986328125,3901.699951171875,6617.22998046875,13999.0,33995.390625,26170.380859375
2022-03-18,4407.33984375,3886.489990234375,6613.9501953125,14060.0,34466.71875,26649.5
2022-03-21,4462.39990234375,3900.840087890625,6608.7900390625,14404.0,34669.8515625,
2022-03-22,4469.10009765625,3886.260009765625,6586.64990234375,14390.0,34583.23828125,27091.3203125
